Date,Start Time,End Time,Event,Location
2024-04-01,09:00,10:30,Work Meeting,Escolar Cafe
2024-04-05,14:30,15:30,Doctor's Appointment,Laguna Doctors
2024-04-09,16:00,18:00,Social Gathering,Google Meet
2024-04-10,09:30,12:30,Volunteer Activity,Nagcarlan
2024-04-13,08:30,17:00,Conference Attendance,Zoom meeting
2024-04-16,20:00,23:00,Friend's Birthday Party,Masiit
2024-04-19,11:00,12:30,Dentist Appointment,Everyday Smile SPC
2024-04-21,16:30,18:30,Art Class,Zoom Meeting
2024-04-23,10:00,12:00,Home Maintenance,Home
2024-04-27,12:00,13:30,Client Lunch Meeting,Ramen Restaurant